ano,muestreo,departamento,estacion,coduer,sustrato,latitud,longitud,ca_cla,ca_cte,ca_cot,ca_hdd,ca_no3,ca_od,ca_ph,ca_po4,ca_sst,eval_cla,eval_cte,eval_cot,eval_hdd,eval_no3,eval_od,eval_ph,eval_sst,eval_po4,cot,cla,cte,hdd,no3,od,ph,po4,sst,icam,icam_calificacion,num_variables,confianza
2018,2018--1,ATLANTICO,Punta Astillero,C08002019,Agua Marina,10.799056,-75.226611,25,73.35,,99.09,,84.91,92.63,95.43,52.54,INADECUADA,ADECUADA,,OPTIMA,,ADECUADA,OPTIMA,ACEPTABLE,OPTIMA,,4.28,79,0.09,-1,6.57,8.04,5.44,59.1,81.17,ADECUADA,6,0.78
2018,2018--2,ATLANTICO,Punta Astillero,C08002019,Agua Marina,10.799056,-75.226611,76.73,1,,99.16,,81.46,90.73,,71.7,ADECUADA,PESIMA,,OPTIMA,,ADECUADA,OPTIMA,ADECUADA,,,0.83,9200,0.083,-1,6.3,8.11,-1,28,-1,NO REPORTADO,5,0.66
2018,2018--1,ATLANTICO,Punta Roca,C08001004,Agua Marina,11.045767,-74.91985,48.21,43.73,,98.6,34.75,85.52,90.43,85.29,78.36,INADECUADA,INADECUADA,,OPTIMA,INADECUADA,ADECUADA,OPTIMA,ADECUADA,ADECUADA,,2.34,350,0.14,47,6.62,8.12,13.4,19.5,70.99,ADECUADA,7,0.87
2018,2018--2,ATLANTICO,Punta Roca,C08001004,Agua Marina,11.045767,-74.91985,100,59.12,,88.58,22.98,81.46,90.43,97.33,92.63,OPTIMA,ACEPTABLE,,ADECUADA,PESIMA,ADECUADA,OPTIMA,OPTIMA,OPTIMA,,0.07,170,1.14,53.4,6.3,8.12,3.56,4.57,72.67,ADECUADA,7,0.87
2018,2018--1,ATLANTICO,Rincon Hondo,C08002020,Agua Estuarina,10.9061111,-75.0359722,21.58,95.29,,87.68,51.14,1,97.64,53.22,40.42,PESIMA,OPTIMA,,ADECUADA,ACEPTABLE,PESIMA,OPTIMA,INADECUADA,ACEPTABLE,,83.7,45,1.23,30,20,8.04,4.01,205,25.64,INADECUADA,7,0.87
2018,2018--2,ATLANTICO,Rincon Hondo,C08002020,Agua Estuarina,10.9061111,-75.0359722,58.11,49.35,,96.61,87.66,94.95,98.75,51.92,92.76,ACEPTABLE,INADECUADA,,OPTIMA,ADECUADA,OPTIMA,OPTIMA,OPTIMA,ACEPTABLE,,16.1,2400,0.34,2.37,7.4,8.49,3.19,13.2,72.99,ADECUADA,7,0.87
2018,2018--1,ATLANTICO,Santa Veronica2,C08002007,Agua Marina,10.883593,-75.086754,51.36,93.25,,98.6,81.83,92.33,90.43,95.21,84.15,ACEPTABLE,OPTIMA,,OPTIMA,ADECUADA,OPTIMA,OPTIMA,ADECUADA,OPTIMA,,1.79,17,0.14,17.5,7.23,8.12,5.64,12.9,91.11,OPTIMA,7,0.87
2018,2018--2,ATLANTICO,Santa Veronica2,C08002007,Agua Marina,10.883593,-75.086754,63.99,26.53,,99.24,92.61,82.37,90.43,,68.88,ACEPTABLE,INADECUADA,,OPTIMA,OPTIMA,ADECUADA,OPTIMA,ACEPTABLE,,,1.17,790,0.075,5.67,6.37,8.12,-1,31.9,68.71,ACEPTABLE,6,0.75
2018,2018--1,BOLIVAR,Alcalis,C13003050,Agua Estuarina,10.348694,-75.510583,87.59,,,,,93.29,93.17,,88.97,ADECUADA,,,,,OPTIMA,OPTIMA,ADECUADA,,,4.3,-1,,,7.27,7.74,-1,22,-1,NO REPORTADO,4,0.52
2018,2018--2,BOLIVAR,Alcalis,C13003050,Agua Estuarina,10.348694,-75.510583,39.45,84.51,,,,59.18,98.47,,88.76,INADECUADA,ADECUADA,,,,ACEPTABLE,OPTIMA,ADECUADA,,,29.1,450,,,5.1,8.24,-1,22.5,-1,NO REPORTADO,5,0.66
2018,2018--1,BOLIVAR,Astillero Naval,C13003033,Agua Estuarina,10.327972,-75.515833,,93.89,,,,98.35,94.33,,73.02,,OPTIMA,,,,OPTIMA,OPTIMA,ADECUADA,,,,78,,,8.27,7.79,-1,66,-1,NO REPORTADO,4,0.54
2018,2018--2,BOLIVAR,Astillero Naval,C13003033,Agua Estuarina,10.327972,-75.515833,,95.53,,,,55.1,98.09,1,86.71,,OPTIMA,,,,ACEPTABLE,OPTIMA,ADECUADA,PESIMA,,,40,,,4.79,8.12,650,27.5,-1,NO REPORTADO,5,0.66
2018,2018--1,BOLIVAR,Boya 41,C13003038,Agua Estuarina,10.397944,-75.549167,,95.53,,,,99.11,94.54,,76.24,,OPTIMA,,,,OPTIMA,OPTIMA,ADECUADA,,,,40,,,8.03,7.8,-1,56,-1,NO REPORTADO,4,0.54
2018,2018--2,BOLIVAR,Boya 41,C13003038,Agua Estuarina,10.397944,-75.549167,,95.91,,,,83.79,98.62,,91.97,,OPTIMA,,,,ADECUADA,OPTIMA,OPTIMA,,,,33,,,6.66,8.33,-1,15,-1,NO REPORTADO,4,0.54
2018,2018--1,BOLIVAR,Escollera submarina,C13003036,Agua Marina,10.39418,-75.573723,,,,,,95.05,95.73,,64.76,,,,,,OPTIMA,OPTIMA,ACEPTABLE,,,,-1,,,7.52,7.78,-1,38,-1,NO REPORTADO,3,0.4
2018,2018--2,BOLIVAR,Escollera submarina,C13003036,Agua Marina,10.39418,-75.573723,,100,,,,90.57,82.69,,79.62,,OPTIMA,,,,OPTIMA,ADECUADA,ADECUADA,,,,4.5,,,7.06,8.32,-1,18,-1,NO REPORTADO,4,0.54
2018,2018--1,BOLIVAR,F. Emisario,C13003037,Agua Estuarina,10.38529,-75.533112,86.03,98.63,,,,96,95.47,,75.9,ADECUADA,OPTIMA,,,,OPTIMA,OPTIMA,ADECUADA,,,4.8,2,,,8.51,7.85,-1,57,-1,NO REPORTADO,5,0.66
2018,2018--2,BOLIVAR,F. Emisario,C13003037,Agua Estuarina,10.38529,-75.533112,58.5,90.2,,,,85.29,98.67,,86.3,ACEPTABLE,OPTIMA,,,,ADECUADA,OPTIMA,ADECUADA,,,15.9,200,,,6.75,8.38,-1,28.5,-1,NO REPORTADO,5,0.66
2018,2018--1,BOLIVAR,Faro Galerazamba,C13001008,Agua Marina,10.791083,-75.266278,,,,,,85.15,95.13,,62.22,,,,,,ADECUADA,OPTIMA,ACEPTABLE,,,,-1,,,6.59,7.67,,42,-1,NO REPORTADO,3,0.4
2018,2018--2,BOLIVAR,Faro Galerazamba,C13001008,Agua Marina,10.791083,-75.266278,,91.65,,,72.89,94.88,93.09,,55.04,,OPTIMA,,,ADECUADA,OPTIMA,OPTIMA,ACEPTABLE,,,,20,,23,7.5,8.02,-1,54.4,-1,NO REPORTADO,5,0.63
2018,2018--2,BOLIVAR,Isla Baru,C13004019,Agua Marina,10.156958,-75.65180799999999,,,,,,86.49,93.09,,56.14,,,,,,ADECUADA,OPTIMA,ACEPTABLE,,,,-1,,,6.7,8.02,-1,52.4,-1,NO REPORTADO,3,0.4
2018,2018--1,BOLIVAR,M. Oceanografico,C13003039,Agua Estuarina,10.41597,-75.54731000000001,,,,,,96.97,93.66,,71.49,,,,,,OPTIMA,OPTIMA,ADECUADA,,,,-1,,,7.59,7.76,-1,71,-1,NO REPORTADO,3,0.4
2018,2018--2,BOLIVAR,M. Oceanografico,C13003039,Agua Estuarina,10.41597,-75.54731000000001,,98.19,,,,81.76,98.59,,90.24,,OPTIMA,,,,ADECUADA,OPTIMA,OPTIMA,,,,4.5,,,6.54,8.31,-1,19,-1,NO REPORTADO,4,0.54
2018,2018--1,BOLIVAR,P. Boca Canoa,C13001010,Agua Marina,10.646889,-75.419611,39.05,,,,,84.78,95.23,,53.65,INADECUADA,,,,,ADECUADA,OPTIMA,ACEPTABLE,,,2.76,-1,,,6.56,7.68,,57,-1,NO REPORTADO,3,0.4
2018,2018--2,BOLIVAR,P. Boca Canoa,C13001010,Agua Marina,10.646889,-75.419611,25,99.2,,,,89.6,93.09,,51.26,INADECUADA,OPTIMA,,,,ADECUADA,OPTIMA,ACEPTABLE,,,26,8.2,,-1,6.97,8.02,-1,61.6,-1,NO REPORTADO,4,0.54
2018,2018--1,BOLIVAR,P. Bocagrande,C13003048,Agua Marina,10.399708,-75.562011,25,,,,,84.91,95.23,,51.05,INADECUADA,,,,,ADECUADA,OPTIMA,ACEPTABLE,,,3.32,-1,,,6.57,7.68,,62,-1,NO REPORTADO,3,0.4
2018,2018--2,BOLIVAR,P. Bocagrande,C13003048,Agua Marina,10.399708,-75.562011,25,81.96,,,64.84,90.79,90.73,1,44.81,INADECUADA,ADECUADA,,,ACEPTABLE,OPTIMA,OPTIMA,INADECUADA,PESIMA,,24,45,,28,7.08,8.11,1400,74.8,37.14,INADECUADA,6,0.75
2018,2018--1,BOLIVAR,P. Crespo,C13003045,Agua Marina,10.454222,-75.51947200000001,,,,,,87.55,94.34,,53.65,,,,,,ADECUADA,OPTIMA,ACEPTABLE,,,,-1,,,6.79,7.61,,57,-1,NO REPORTADO,3,0.4
2018,2018--2,BOLIVAR,P. Crespo,C13003045,Agua Marina,10.454222,-75.51947200000001,,100,,,1,89.15,93.51,15.97,43.31,,OPTIMA,,,PESIMA,ADECUADA,OPTIMA,INADECUADA,PESIMA,,,4.5,,1051,6.93,8,70,78,36.23,INADECUADA,6,0.75
2018,2018--1,BOLIVAR,P. Isla Arena,C13001009,Agua Marina,10.714639,-75.28125,,,,,,86.37,95.48,,56.36,,,,,,ADECUADA,OPTIMA,ACEPTABLE,,,,-1,,,6.69,7.71,,52,-1,NO REPORTADO,3,0.4
2018,2018--2,BOLIVAR,P. Isla Arena,C13001009,Agua Marina,10.714639,-75.28125,,,,,76.16,92.43,94.71,,49.85,,,,,ADECUADA,OPTIMA,OPTIMA,INADECUADA,,,,-1,,21,7.24,7.93,-1,64.4,-1,NO REPORTADO,4,0.49
2018,2018--1,BOLIVAR,P. Manzanillo,C13003041,Agua Marina,10.51004,-75.507347,,38.23,,,,84.78,95.13,,54.72,,INADECUADA,,,,ADECUADA,OPTIMA,ACEPTABLE,,,,450,,,6.56,7.67,,55,-1,NO REPORTADO,4,0.54
2018,2018--2,BOLIVAR,P. Manzanillo,C13003041,Agua Marina,10.51004,-75.507347,,,,,1,90.14,91.32,,44.44,,,,,PESIMA,OPTIMA,OPTIMA,INADECUADA,,,,-1,,84,7.02,8.09,-1,75.6,-1,NO REPORTADO,4,0.49
2018,2018--1,BOLIVAR,P. Marbella,C13003047,Agua Marina,10.432928,-75.543944,,55.77,,,,84.78,95.02,,51.05,,ACEPTABLE,,,,ADECUADA,OPTIMA,ACEPTABLE,,,,200,,,6.56,7.66,,62,-1,NO REPORTADO,4,0.54
2018,2018--2,BOLIVAR,P. Marbella,C13003047,Agua Marina,10.432928,-75.543944,,,,,1,93.6,90.43,,49.65,,,,,PESIMA,OPTIMA,OPTIMA,INADECUADA,,,,-1,,106,7.36,8.12,-1,64.8,-1,NO REPORTADO,4,0.49
2018,2018--1,BOLIVAR,Punta Canoa,C13001012,Agua Marina,10.555694,-75.507861,49.65,,,,,84.03,94.9,,59.21,INADECUADA,,,,,ADECUADA,OPTIMA,ACEPTABLE,,,2.08,-1,,,6.5,7.65,,47,-1,NO REPORTADO,3,0.4
2018,2018--2,BOLIVAR,Punta Canoa,C13001012,Agua Marina,10.555694,-75.507861,25,,,,60.13,90.25,92.63,,61.24,INADECUADA,,,,ACEPTABLE,OPTIMA,OPTIMA,ACEPTABLE,,,23,-1,,31,7.03,8.04,-1,43.6,-1,NO REPORTADO,4,0.49
2018,2018--1,BOLIVAR,Roja Bocachica,C13003049,Agua Estuarina,10.31467,-75.585373,,96.72,,,,97.06,94.33,,77.58,,OPTIMA,,,,OPTIMA,OPTIMA,ADECUADA,,,,20,,,7.6,7.79,-1,52,-1,NO REPORTADO,4,0.54
2018,2018--2,BOLIVAR,Roja Bocachica,C13003049,Agua Estuarina,10.31467,-75.585373,,94.01,,,,64.89,98.49,,92.85,,OPTIMA,,,,ACEPTABLE,OPTIMA,OPTIMA,,,,75,,,5.5,8.25,-1,13,-1,NO REPORTADO,4,0.54
2018,2018--1,BOLIVAR,Roja F. Corelca,C13003034,Agua Estuarina,10.359444,-75.519889,,96.72,,,,95.16,94.93,,84.52,,OPTIMA,,,,OPTIMA,OPTIMA,ADECUADA,,,,20,,,8.57,7.82,-1,33,-1,NO REPORTADO,4,0.54
2018,2018--2,BOLIVAR,Roja F. Corelca,C13003034,Agua Estuarina,10.359444,-75.519889,,84.51,,,,78.54,98.49,,88.14,,ADECUADA,,,,ADECUADA,OPTIMA,ADECUADA,,,,450,,,6.35,8.25,-1,24,-1,NO REPORTADO,4,0.54
2018,2018--1,BOLIVAR,Tierra Bomba,C13003040,Agua Marina,10.362351,-75.599907,,,,,,81.46,95.23,,64.76,,,,,,ADECUADA,OPTIMA,ACEPTABLE,,,,-1,,,6.3,7.68,-1,38,-1,NO REPORTADO,3,0.4
2018,2018--2,BOLIVAR,Tierra Bomba,C13003040,Agua Marina,10.362351,-75.599907,,,,,,71.39,82.69,,79.62,,,,,,ADECUADA,ADECUADA,ADECUADA,,,,-1,,,5.58,8.32,-1,18,-1,NO REPORTADO,3,0.4
2018,2018--1,BOLIVAR,Verde F. Caño Loro,C13003032,Agua Estuarina,10.333556,-75.540278,,,,,,83.62,90.2,,78.62,,,,,,ADECUADA,OPTIMA,ADECUADA,,,,-1,,,6.65,7.64,-1,49,-1,NO REPORTADO,3,0.4
2018,2018--2,BOLIVAR,Verde F. Caño Loro,C13003032,Agua Estuarina,10.333556,-75.540278,,97.26,,,,55.35,97.5,3.32,91.53,,OPTIMA,,,,ACEPTABLE,OPTIMA,OPTIMA,PESIMA,,,13,,,4.81,8.02,360,16,-1,NO REPORTADO,5,0.66
2018,2018--1,BOLIVAR,Verde Polvorin,C13003035,Agua Estuarina,10.36185,-75.539078,,,,,,98.15,94.11,97.85,78.27,,,,,,OPTIMA,OPTIMA,ADECUADA,OPTIMA,,,-1,,,7.74,7.78,42,50,-1,NO REPORTADO,4,0.52
2018,2018--2,BOLIVAR,Verde Polvorin,C13003035,Agua Estuarina,10.36185,-75.539078,,96.72,,,,81.08,98.62,,87.93,,OPTIMA,,,,ADECUADA,OPTIMA,ADECUADA,,,,20,,,6.5,8.33,-1,24.5,-1,NO REPORTADO,4,0.54
2018,2018--1,CAUCA,Antiguo Muelle,P19003003,Agua Marina,2.9615,-78.171917,,,,98.99,,91.62,87.69,96.76,97.44,,,,OPTIMA,,OPTIMA,ADECUADA,OPTIMA,OPTIMA,,,,0.10019704,-1,7.16,8.2,4.15,0.94,-1,NO REPORTADO,5,0.64
2018,2018--2,CAUCA,Antiguo Muelle,P19003003,Agua Marina,2.9615,-78.171917,,1,,,90.91,94.06,87.69,94.87,96.21,,PESIMA,,,OPTIMA,OPTIMA,ADECUADA,OPTIMA,OPTIMA,,,16000,,10.8,7.41,8.2,5.95,1.74,39.86,INADECUADA,6,0.75
2018,2018--1,CAUCA,Bocana Timbiqui,P19002013,Agua Estuarina,2.78425,-77.7441111,,1.41,,96.28,59.32,57.83,38.69,,73.61,,PESIMA,,OPTIMA,ACEPTABLE,ACEPTABLE,INADECUADA,ADECUADA,,,,160000,0.37344828,22.7,5,6.78,-1,64.1,-1,NO REPORTADO,5,0.63
2018,2018--2,CAUCA,Bocana Timbiqui,P19002013,Agua Estuarina,2.78425,-77.7441111,,,,,,71.8,98.62,59.2,80.72,,,,,,ADECUADA,OPTIMA,ADECUADA,ACEPTABLE,,,,,-1,9.5,8.33,7.63,43.1,-1,NO REPORTADO,4,0.52
2018,2018--1,CAUCA,F. Guajui,P19002006,Agua Estuarina,2.769155,-77.851463,84.14,52.47,,83.37,,78.54,90.54,,96.6,ADECUADA,ACEPTABLE,,ADECUADA,,ADECUADA,OPTIMA,OPTIMA,,,5.42,2200,1.66868182,-1,6.35,7.65,-1,4.76,-1,NO REPORTADO,5,0.66
2018,2018--2,CAUCA,F. Guajui,P19002006,Agua Estuarina,2.769155,-77.851463,80.72,91,,,78.39,81.59,95.47,55.76,90.2,ADECUADA,OPTIMA,,,ADECUADA,ADECUADA,OPTIMA,OPTIMA,ACEPTABLE,,6.58,170,,13.4,6.53,7.85,5.58,19.1,81.13,ADECUADA,7,0.87
2018,2018--1,CAUCA,F. Guapi boya,P19002007,Agua Estuarina,2.748583,-77.956833,71.29,,,97.66,,72.88,96.74,51.21,90.41,ADECUADA,,,OPTIMA,,ADECUADA,OPTIMA,OPTIMA,ACEPTABLE,,10.1,,0.23489011,-1,6.01,7.94,2.74,18.6,-1,NO REPORTADO,5,0.64
2018,2018--2,CAUCA,F. Guapi boya,P19002007,Agua Estuarina,2.748583,-77.956833,93.09,6.46,,,78.11,73.2,97.64,60.51,93.66,OPTIMA,PESIMA,,,ADECUADA,ADECUADA,OPTIMA,OPTIMA,ACEPTABLE,,2.61,92000,,13.5,6.03,8.04,8.39,11.2,54.02,ACEPTABLE,7,0.87
2018,2018--1,CAUCA,F. Micay,P19001003,Agua Estuarina,3.055984,-77.739014,,98.63,,76.56,,89.02,97.95,,98.13,,OPTIMA,,ADECUADA,,ADECUADA,OPTIMA,OPTIMA,,,,2,2.39260563,-1,6.98,8.09,-1,1.5,-1,NO REPORTADO,4,0.54
2018,2018--2,CAUCA,F. Micay,P19001003,Agua Estuarina,3.055984,-77.739014,90.9,13.2,,,99.31,77.02,97.5,61.04,91.4,OPTIMA,PESIMA,,,OPTIMA,ADECUADA,OPTIMA,OPTIMA,ACEPTABLE,,3.27,9200,,4.81,6.26,8.02,8.7,16.3,62.35,ACEPTABLE,7,0.87
2018,2018--1,CAUCA,F. Saija,P19001004,Agua Estuarina,2.893639,-77.812472,93.8,96.94,,81.44,85.05,86.12,98.05,,97.44,OPTIMA,OPTIMA,,ADECUADA,ADECUADA,ADECUADA,OPTIMA,OPTIMA,,,2.4,17,1.86950893,2.1,6.8,8.11,-1,2.96,92.8,OPTIMA,6,0.75
2018,2018--2,CAUCA,F. Saija,P19001004,Agua Estuarina,2.893639,-77.812472,87.97,,,,51.77,63.56,93.17,65.08,91.53,ADECUADA,,,,ACEPTABLE,ACEPTABLE,OPTIMA,OPTIMA,ACEPTABLE,,4.18,,,29.3,5.41,7.74,11,16,74.19,ADECUADA,6,0.73
2018,2018--1,CAUCA,F. Timbiqui,P19002008,Agua Estuarina,2.828417,-77.846639,93.66,,,99.11,,86.78,91.8,,97.75,OPTIMA,,,OPTIMA,,ADECUADA,OPTIMA,OPTIMA,,,2.44,,0.08866171,-1,6.84,7.69,-1,2.3,-1,NO REPORTADO,4,0.52
2018,2018--2,CAUCA,F. Timbiqui,P19002008,Agua Estuarina,2.828417,-77.846639,60.27,60.89,,,96.32,84.79,97.33,59.68,85.15,ACEPTABLE,ACEPTABLE,,,OPTIMA,ADECUADA,OPTIMA,ADECUADA,ACEPTABLE,,15,1700,,3.68,6.72,8,7.91,31.4,75.39,ADECUADA,7,0.87
2018,2018--1,CAUCA,Gorgonilla,P19003004,Agua Marina,2.932528,-78.21516700000001,92.83,,,,86.09,76.98,86.54,87.68,95.98,OPTIMA,,,,ADECUADA,ADECUADA,ADECUADA,OPTIMA,ADECUADA,,0.42,,-1,14.7,5.97,8.23,11.7,1.9,-1,NO REPORTADO,5,0.61
2018,2018--2,CAUCA,Gorgonilla,P19003004,Agua Marina,2.932528,-78.21516700000001,93.49,,,,89.63,87.44,89.79,97.52,96.41,OPTIMA,,,,ADECUADA,ADECUADA,ADECUADA,OPTIMA,OPTIMA,,0.4,,,12,6.78,8.14,3.36,1.6,-1,NO REPORTADO,5,0.61
2018,2018--1,CAUCA,Horno Gorgona,P19003001,Agua Marina,3.008222,-78.168194,,,,99.22,,91.52,91.82,97.22,93.68,,,,OPTIMA,,OPTIMA,OPTIMA,OPTIMA,OPTIMA,,,,0.07724299,-1,7.15,7.49,3.68,3.68,-1,NO REPORTADO,5,0.64
2018,2018--2,CAUCA,Horno Gorgona,P19003001,Agua Marina,3.008222,-78.168194,,67.54,,,88.11,86.49,88.42,96.48,,,ACEPTABLE,,,ADECUADA,ADECUADA,ADECUADA,,OPTIMA,,,110,,2.33,6.7,8.18,4.43,-1,-1,NO REPORTADO,5,0.63
2018,2018--1,CAUCA,P. Blanca,P19003002,Agua Marina,2.9445,-78.189194,57.29,23.65,,,,89.26,83.14,95.58,98.05,ACEPTABLE,PESIMA,,,,ADECUADA,ADECUADA,OPTIMA,OPTIMA,,1.41,920,-1,-1,6.94,8.31,5.3,0.6,-1,NO REPORTADO,5,0.66
2018,2018--2,CAUCA,P. Blanca,P19003002,Agua Marina,2.9445,-78.189194,96.45,14.61,,,83.71,95.23,87.69,95.04,95.05,OPTIMA,PESIMA,,,ADECUADA,OPTIMA,ADECUADA,OPTIMA,OPTIMA,,0.3,1600,-1,16.3,7.54,8.2,5.8,2.59,65.18,ACEPTABLE,6,0.75
2018,2018--1,CAUCA,Vertimiento Gorgona,P19003005,Agua Marina,2.968083,-78.171917,,,,,90.03,89.6,95.72,95.91,94.27,,,,,OPTIMA,ADECUADA,OPTIMA,OPTIMA,OPTIMA,,,,-1,3.28,6.97,7.8,4.98,3.2,-1,NO REPORTADO,5,0.61
2018,2018--2,CAUCA,Vertimiento Gorgona,P19003005,Agua Marina,2.968083,-78.171917,,1,,,92.73,87.2,89.12,96.59,97.16,,PESIMA,,,OPTIMA,ADECUADA,ADECUADA,OPTIMA,OPTIMA,,,16000,-1,5.93,6.76,8.16,4.32,1.11,39.59,INADECUADA,6,0.75
2018,2018--1,CHOCO,Bahia Solano,P27002004,Agua Estuarina,6.232,-77.41169400000001,,95.29,,,86.15,87.43,98,,93.93,,OPTIMA,,,ADECUADA,ADECUADA,OPTIMA,OPTIMA,,,,45,-1,2.21,6.88,8.1,-1,10.6,-1,NO REPORTADO,5,0.63
2018,2018--1,CHOCO,Ensenada de Utría,P27002016,Agua Marina,6.000972,-77.35088900000001,82.49,91.65,,86.89,,87.79,92.38,,88.85,ADECUADA,OPTIMA,,ADECUADA,,ADECUADA,OPTIMA,ADECUADA,,,0.69,20,1.31,-1,6.81,8.05,-1,8.07,-1,NO REPORTADO,5,0.66
2018,2018--1,CHOCO,Estero Tribugá,P27002013,Agua Estuarina,5.771583,-77.24775,,95.29,,,93,72.71,96.74,,94.5,,OPTIMA,,,OPTIMA,ADECUADA,OPTIMA,OPTIMA,,,,45,-1,3.06,6,7.94,-1,9.33,-1,NO REPORTADO,5,0.63
2018,2018--1,CHOCO,F. Bahia Solano,P27002011,Agua Marina,6.251301,-77.41171299999999,50.95,73.57,,,90.73,94.43,89.79,,88.23,ACEPTABLE,ADECUADA,,,OPTIMA,OPTIMA,ADECUADA,ADECUADA,,,1.84,78,-1,3.72,7.45,8.14,-1,8.68,-1,NO REPORTADO,5,0.63
